Name,from,jahr,to,zeitpunkt
,SA08,,UFR,
,MB08,,RWTHA,
,HB08,,TUB,
,HB08,2003,15,1
,HB08,2007,16,1
,MC08,,UB,
,MC08,2016,17,2
,EC08,,MPI_BM,
,EC08,2014,18,2
,EC08,2019,19,2
,EC08,2021,20,2
,EC08,2025,21,2
,HF08,,UBO,
,SH08,,MPI_BPC,
,SH08,2000,22,1
,SH08,2001,23,1
,SH08,2002,24,1
,SH08,2002,25,1
,SH08,2002,26,1
,SH08,2004,27,1
,SH08,2006,28,1
,SH08,2007,29,1
,SH08,2009,30,2
,SH08,2010,31,2
,SH08,2011,32,2
,SH08,2011,33,2
,SH08,2011,34,2
,SH08,2011,35,2
,SH08,2012,36,2
,SH08,2014,37,2
,SH08,2014,38,2
,SH08,2016,39,2
,EI08,,MPI_EB,
,EI08,2012,21,2
,KK08,,MPI_FKF,
,KK08,1987,40,1
,KK08,1990,6,1
,KK08,2016,41,2
,WL08,,WWU,
,WL08,2003,42,1
,JM08,,AU,
,JM08,1986,43,1
,JM08,2014,44,2
,AB09,,MPI_MM,
,AB09,2014,45,2
,AB09,2018,46,2
,AB09,2018,47,2
,AB09,2019,48,2
,AB09,2021,49,2
,AB09,2023,50,2
,HB09,,JMU,
,HB09,2016,51,2
,WB09,,UFR,
,WB09,2022,52,2
,HD09,,UG,
,HD09,1977,53,1
,HD09,1983,54,1
,HD09,1989,55,1
,HD09,2001,56,1
,HD09,2003,57,1
,HD09,2007,58,1
,HD09,2012,59,2
,HD09,2021,92,2
,HD09,2024,60,2
,HD09,2024,61,2
,JE09,,IFW,
,JE09,1997,62,1
,JE09,2002,63,1
,JE09,2014,64,2
,AF09,,UBO,
,AF09,1999,65,1
,AF09,2008,233,1
,AF09,2011,27,2
,AF09,2011,67,2
,FK09,,UU,
,FK09,2013,68,2
,JR09,,TUDa,
,JR09,1992,69,1
,KR09,,UU,
,KR09,2006,70,1
,KR09,2008,71,1
,KR09,2011,72,2
,KR09,2012,73,2
,KR09,2015,74,2
,BW09,,WWU,
,BW09,2006,75,1
,BW09,2022,76,2
,MZ09,,UK,
,JB10,,UL,
,JB10,2017,77,2
,PF10,,MPI_KG,
,PF10,2008,42,1
,RI10,,UF,
,RI10,2010,233,2
,RI10,2015,27,2
,CK10,,MHH,
,CK10,2006,78,1
,CK10,2007,79,1
,CK10,2007,80,1
,CK10,2007,81,1
,CK10,2011,82,2
,CK10,2011,83,2
,CK10,2011,84,2
,CK10,2013,45,2
,CK10,2015,86,2
,CK10,2016,87,2
,UL10,,MPI_B,
,FN10,,UBO,
,FN10,2005,88,1
,FN10,2005,89,1
,FN10,2008,90,1
,JO10,,UKO,
,JO10,1990,91,1
,JO10,1999,92,1
,JO10,2001,93,1
,JO10,2009,94,1
,JO10,2012,95,2
,JO10,2017,96,2
,JO10,2017,97,2
,JO10,2018,98,2
,PS10,,TUD,
,PS10,1998,100,1
,PS10,2004,8,1
,PS10,2011,102,2
,PS10,2023,103,2
,PS10,2024,101,2
,ST10,,DPZ,
,JW10,,UdS,
,JW10,2016,85,2
,MW00,2009,45,2
,JF01,,LMU,
,KF00,,UH,
,KF00,2000,12,1
,PG00,,FAU,
,PG00,2005,104,2
,MH00,,EMBL,
,MH00,2007,105,2
,MH00,2018,106,2
,MH00,2019,107,2
,PH00,,TUBI,
,PH00,1993,108,1
,RJ00,,MPI_BPC,
,RJ00,1990,42,1
,RJ00,2010,110,2
,RJ00,2006,21,2
,RJ00,2008,109,2
,RJ00,2014,111,2
,RJ00,2016,112,2
,RJ00,2016,98,2
,GLW00,,UB,
,AL00,1995,42,1
,AL00,,UKO,
,GLW00,2024,31,2
,GLW00,2021,114,2
,GLW00,2012,113,2
,MW00,2005,120,2
,IS00,,MPI_MP,
,MP00,,UdS,
,SM00,2013,117,2
,SM00,1993,42,1
,SM00,1992,116,1
,SM00,,MPI_M,
,DL00,2006,115,2
,DL00,,HUB,
,MW00,2006,25,2
,MW00,,KIT,
,MW00,2005,119,2
,IS00,1998,68,1
,FT00,,UKI,
,IS00,1991,118,1
,HW00,2018,122,2
,HW00,2007,115,2
,HW00,1996,42,1
,HW00,,US,
,MW00,2016,121,2
,EH01,,UH,
,JF01,2013,14,2
,JF01,1999,10,1
,JF01,1999,8,1
,JF01,1995,7,1
,JF01,1994,6,1
,JF01,1991,5,1
,JF01,1989,4,1
,AK01,2001,42,1
,AK01,1999,124,1
,AK01,1986,123,1
,AK01,1997,2,1
,HK01,1996,108,1
,AK01,,LMU,
,HK01,1992,69,1
,HK01,1995,6,1
,HK01,,UT,
,WM01,1990,128,1
,WM01,1988,127,1
,WM01,,RWTHA,
,UK01,,JMU,
,CM01,1994,125,1
,CM01,2010,126,2
,JK01,1987,69,1
,CM01,,UH,
,MK01,,UK,
,JK01,,FUB,
,HR01,,UB,
,GZ01,2008,46,2
,GZ01,2017,131,2
,GZ01,2013,45,2
,HR01,1999,15,1
,GZ01,2006,130,2
,GZ01,1994,6,1
,GZ01,1993,129,1
,GZ01,,TUB,
,CBK02,,MDC,
,WD02,,RWTHA,
,WCD02,,UKI,
,BE02,,UMA,
,MF02,,UBO,
,CH02,,LMU,
,FH02,,MPI_BM,
,TH02,,UHA,
,RK02,,UP,
,WK02,,TUBS,
,KL02,,TUD,
,FV02,,UPB,
,FV02,1997,169,1
,WD03,,MPI_MF,
,HE03,,UDE,
,FA04,,US,
,GH03,,MPI_GP,
,RK03,,FUB,
,AK03,,UKO,
,RL03,,UMA,
,CN03,,DKFZ,
,HS03,,MPI_I,
,FS03,,MPI_KF,
,HW03,,WWU,
,EV03,,UDE,
,GB04,,FUB,
,TC04,,LMU,
,KK04,,UBO,
,HM04,,UH,
,NP04,,UFR,
,KP04,,HHU,
,DR04,,MPI_EF,
,KS04,,UG,
,JS04,,LMU,
,MS04,,UP,
,CBK02,1989,132,1
,WD02,2018,133,2
,WCD02,2015,134,2
,BE02,1994,135,1
,BE02,1987,136,1
,BE02,2008,137,2
,MF02,1996,138,1
,MF02,1998,247,1
,MF02,1998,140,1
,MF02,2000,141,1
,CH02,1990,142,1
,CH02,1997,143,1
,CH02,1997,144,1
,CH02,2002,21,1
,CH02,2002,32,1
,CH02,2002,145,1
,CH02,2018,146,2
,CH02,2019,147,2
,CH02,2023,45,2
,FH02,1999,226,1
,FH02,2000,72,1
,FH02,2003,2,2
,FH02,2005,21,2
,FH02,2006,33,2
,FH02,2007,149,2
,FH02,2008,150,2
,FH02,2010,151,2
,FH02,2011,152,2
,FH02,2011,111,2
,FH02,2012,153,2
,FH02,2013,154,2
,FH02,2013,155,2
,FH02,2016,68,2
,FH02,2019,156,2
,FH02,2020,157,2
,FH02,2022,158,2
,TH02,1989,159,1
,TH02,1999,160,1
,KL02,1992,132,1
,KL02,2002,226,1
,KL02,2006,162,2
,KL02,2011,28,2
,KL02,2012,163,2
,KL02,2014,45,2
,KL02,2016,164,2
,KL02,2019,165,2
,KL02,2021,166,2
,KL02,2021,167,2
,FV02,1991,168,1
,WD03,2000,148,1
,WD03,2012,37,2
,WD03,2015,146,2
,WD03,2015,170,2
,HE03,2001,171,1
,RK03,1995,132,1
,AK03,2002,226,1
,AK03,2016,172,2
,RL03,2010,2,2
,RL03,2014,173,2
,CN03,1998,175,1
,CN03,1999,176,1
,CN03,2001,177,1
,CN03,2002,120,1
,FS03,1989,178,1
,FS03,1991,179,1
,FS03,2001,180,1
,FS03,2011,181,2
,FS03,2011,182,2
,FS03,2011,183,2
,HW03,2004,46,2
,FS03,2012,184,2
,FS03,2014,185,2
,FS03,2025,186,2
,HW03,2006,187,2
,HW03,2021,188,2
,GB04,1996,189,1
,GB04,1998,190,1
