id,name,geburtsjahr,jahr,geschlecht,type,"Alter, LP gewonnen"
KF00,Klaus Fiedler,1951,2000,2,1,49
PG00,"Peter Greil ",1954,2000,2,1,46
MH00,Matthias Hentze,1960,2000,2,1,40
PH00,Peter Herzig,1954,2000,2,1,46
RJ00,"Reinhard Jahn ",1950,2000,2,1,50
AL00,Aditi Lahiri,1952,2000,1,1,48
GLW00,Gertrude Lübbe-Wolff,1953,2000,1,1,47
DL00,Dieter Lüst,1956,2000,2,1,44
SM00,Stefan Müller,1962,2000,2,1,38
MP00,Manfred Pinkal,1949,2000,2,1,51
IS00,"Ilme Schlichting ",1960,2000,1,1,40
FT00,Friedrich Temps,1955,2000,2,1,45
MW00,Martin Wegener,1961,2000,2,1,39
HW00,Hans-Joachim Werner,1950,2000,2,1,50
JF01,Jochen Feldmann,1961,2001,2,1,40
EH01,"Eduard Hurt ",1955,2001,2,1,46
HK01,Hans Keppler,1962,2001,2,1,39
AK01,"Arthur Konnerth ",1953,2001,2,1,48
UK01,Ulrich Konrad,1957,2001,2,1,44
MK01,"Martin Krönke ",1953,2001,2,1,48
JK01,"Joachim Küpper ",1952,2001,2,1,49
CM01,Christoph Markschies,1962,2001,2,1,39
WM01,"Wolfang Marquardt ",1956,2001,2,1,45
HR01,Helge Ritter,1958,2001,2,1,43
GZ01,Günther Ziegler,1963,2001,2,1,38
CBK02,"Carmen Birchmeier-Kohler ",1955,2002,1,1,47
WD02,"Wolfgang Dahmen ",1949,2002,2,1,53
WCD02,"Wolf-Christian Dullo ",1954,2002,2,1,48
BE02,"Bruno Eckhardt ",1960,2002,2,1,42
MF02,"Michael Famulok ",1960,2002,2,1,42
CH02,"Christian Haass ",1960,2002,2,1,42
FH02,"Franz-Ulrich Hartl ",1957,2002,2,1,45
TH02,"Thomas Hengartner ",1960,2002,2,1,42
RK02,"Reinhold Kliegl ",1953,2002,2,1,49
WK02,"Wolfgang Kowalsky ",1958,2002,2,1,44
KL02,"Karl Leo ",1960,2002,2,1,42
FV02,"Frank Vollertsen ",1958,2002,2,1,44
WD03,"Winfried Denk ",1957,2003,2,1,46
HE03,"Hélène Esnault ",1953,2003,1,1,50
GH03,"Gerhard Huisken ",1958,2003,2,1,45
RK03,"Rupert Klein ",1959,2003,2,1,43
AK03,"Albrecht Koschorke ",1958,2003,2,1,45
RL03,Roland Lill,1955,2003,2,1,48
CN03,"Christof Niehrs ",1962,2003,2,1,41
HS03,"Hans-Peter Seidel ",1958,2003,2,1,45
FS03,"Ferdi Schüth ",1960,2003,2,1,43
HW03,"Hubert Wolf ",1959,2003,2,1,44
EV03,Eckart Viehweg,1948,2003,2,1,55
FA04,Frank Allgöwer,1962,2004,2,1,42
GB04,"Gabriele Brandstetter ",1954,2004,1,1,50
TC04,"Thomas Carell ",1966,2004,2,1,38
KK04,"Karl Christoph Klauer ",1961,2004,2,1,43
HM04,"Hannah Monyer ",1957,2004,1,1,47
NP04,"Nikolaus Pfanner ",1956,2004,2,1,48
KP04,"Klaus Pfeffer ",1962,2004,2,1,42
DR04,"Dierk Raabe ",1965,2004,2,1,39
KS04,"Konrad Samwer ",1952,2004,2,1,52
JS04,Jürgen Soll,1953,2004,2,1,51
MS04,"Manfred Strecker ",1955,2004,2,1,49
PB05,Peter B. Becker,1958,2005,2,1,47
IB05,Immanuel F. Bloch,1972,2005,2,1,33
SD05,Stefanie Dimmeler,1967,2005,1,1,38
JG05,Jürgen Gauß,1960,2005,2,1,45
GH05,Günther G. Hasinger,1954,2005,2,1,51
CJ05,Christian Jung,1956,2005,2,1,49
AO05,Axel Ockenfels,1969,2005,2,1,36
WP05,"Wolfgang Peukert ",1958,2005,2,1,47
BSR05,"Barbara Stollberg-Rilinger ",1955,2005,1,1,50
AT05,Andreas Tünnermann,1963,2005,2,1,42
MB06,Matthias Beller,1962,2006,2,1,44
PC06,"Patrick Cramer ",1969,2006,2,1,37
PJ06,Peter Jonas,1961,2006,2,1,45
FK06,Ferenc Krausz,1962,2006,2,1,44
KM06,Klaus Mezger,1958,2006,2,1,48
TM06,Thomas Mussweiler,1969,2006,2,1,37
FO06,Felix Otto,1966,2006,2,1,40
DP06,Dominik Perler,1965,2006,2,1,41
GR06,Gyburg Radke,1975,2006,1,1,31
MZ06,Marino Zerial,1958,2006,2,1,48
PW06,Peter Wasserscheid,1970,2006,2,1,36
JB07,Jens Claus Brüning,1966,2007,2,1,41
PB07,Patrick Bruno,1964,2007,2,1,43
MG07,"Magdalena Götz ",1962,2007,1,1,45
PG07,"Peter Gumbsch ",1962,2007,2,1,45
GH07,Gerald Haug,1968,2007,2,1,39
BJ07,Bernhard Jussen,1959,2007,2,1,48
GK07,Guinevere Kauffmann,1968,2007,1,1,39
FL07,Falko Langenhorst,1964,2007,2,1,43
OP07,Oliver Primavesi,1961,2007,2,1,46
DW07,"Detlef Weigel ",1961,2007,2,1,46
SA08,Susanne Albers,1965,2008,1,1,43
MB08,Martin Beneke,1966,2008,2,1,42
HB08,Holger Boche,1966,2008,2,1,42
MC08,Martin Carrier,1955,2008,2,1,53
EC08,Elena Conti,1967,2008,1,1,41
HF08,Holger Fleischer,1965,2008,2,1,43
SH08,Stefan Hell,1962,2008,2,1,46
EI08,Elisa Izaurralde,1959,2008,1,1,49
KK08,Klaus Kern,1960,2008,2,1,48
WL08,Wolfgang Lück,1957,2008,2,1,51
JM08,Jochen Mannhart,1960,2008,2,1,48
AB09,Antje Boetius,1967,2009,1,1,42
HB09,Holger Braunschweig,1961,2009,2,1,48
WB09,Wolfram Burgard,1961,2009,2,1,48
HD09,Heinrich Detering,1959,2009,2,1,50
JE09,Jürgen Eckert,1962,2009,2,1,47
AF09,Armin Falk,1968,2009,2,1,41
FK09,Frank Kirchhoff,1961,2009,2,1,48
JR09,Jürgen Rödel,1958,2009,2,1,51
KR09,Karl Lenhard Rudolph,1969,2009,2,1,40
BW09,Burkhard Wilking,1970,2009,2,1,39
MZ09,Martin R. Zirnbauer,1958,2009,2,1,51
JB10,Jan Born,1958,2010,2,1,52
PF10,Peter Fratzl,1958,2010,2,1,52
RI10,Roman Inderst,1970,2010,2,1,40
CK10,Christoph Klein,1964,2010,2,1,46
UL10,Ulman Lindenberger,1961,2010,2,1,49
FN10,Frank Neese,1967,2010,2,1,43
JO10,Jürgen Osterhammel,1952,2010,2,1,58
PS10,Petra Schwille,1968,2010,1,1,42
ST10,Stefan Treue,1964,2010,2,1,46
JW10,Joachim Weickert,1965,2010,2,1,45
UH,Universität Heidelberg,,,,2,
LMU,Ludwig Maximilians Universität München,,,,2,
RWTHA,"Rheinisch-Westfälische Technische Hochschule Aachen ",,,,2,
TUB,Technische Universität Berlin,,,,2,
UB,Universität Bielefeld,,,,2,
MPI_BM,MPI für Biochemie in Martinsried,,,,2,
UBO,Universität Bonn,,,,2,
MPI_BPC,"MPI für biophysikalische Chemie, Göttingen ",,,,2,
MPI_EB,"MPI für Entwicklungsbiologie, Tübingen",,,,2,
MPI_FKF,"MPI für Festkörperforschung, Stuttgart ",,,,2,
WWU,Universität Münster,,,,2,
